Front_End,Back_End,Machine_Learning,Android_Developer,Quality_Engineer,Production_Engineer,Design_Engineer,Maintenance_Engineer,Hvac_Engineer,Education
HTML/CSS,Java,R ,GO,Statistics,Overseeing Production Processes,Unigraphics,Technical Specification preparation,Geometric Dimensioning ,B.E in Computer Engineering
html,Python,Java,Java,Calculas,Supervising ,Mathcad,Employee training,Tolerancing,M.E in Computer Engineering
css,Ruby,Python,NoSql,Mathematics,Monitoring,FEA,Design concept management,Unigraphics,Bachelor In Computer Engineering
JavaScript,. Net,C++,SQL,Autocad,Determining the Quality Control Standards,Python,Component drawings,FEA design,Bachelor in Computer Science
JavaScript,C++ ,Torch,Kotlin,Analysis,Resource Planning,Medusa,Mechanical system design,Automotive Quality Product Design,Masters in Computer Engineering
jQuery,Perl ,Theano,Android Studio,Critical Thinking,Resource Optimization,Structural Calclulations,Cleaning,DX equipment,Masters in Computer Science
Bootstrap,PHP,Tensorflow,Android SDK,Problem-solving skills,Troubleshooting,Thermal Calculations,sanitizing,familiar with boilers pumps and chillers,Bachelor in Information Technology
Version Control/Git ,Postgres SQL,Swift AI,Material Design,Trigonometry,Diagnostics,English,Landscaping,HVAC Design,Masters in Information Technology
 Sass,MySQL,Scikit-Learn,Python,Limits,Manpower Allocation,Teamwork,groundskeeping,Autocad,B.I.T
LESS,MongoDB,Pybrain,Node.js,Integration,Costing,Analytical,Equipment Installation,cad,M.I.T
Stylus,Oracle  ,Keras,C#,Differentiation,Organising Relevant Training Sessions,Innovative,Staff Training,pro-E,Bachelor in Information Management
AngularJS,Redis,IBM Watson,JavaScript,Mathematics,Unigraphics,product knowledge,Administration,,B.I.M
ES6,SQL Server,Deeplearning4j,xml,Design,Autocad,Product Design,stages of production cycle,,Bachelor of Computer Science and Information Technology
Angular,Docker    ,,Firebase,Trouble Shouting,CATIA,Autocad,Unigraphics,,Bsc Csit
React,Kubernetes,Linear Regression,SQLite,Fabrication, Pro-E,cad,Excel at identifying ways to improve function,,Masters of Computer Science and Information Technology
Vue.JS,Nginx,Logistic Regression,RDBMS,Solidworks,,CATIA,project design,,Msc Csit
Meteor,Node.js,Decision Trees,XCode,English,,Pro-E,management,,Bachelor of Computer Application
Node.JS,Apache  ,Random Forests,,Cam,,,team leader,,Masters of Computer Application
Backbone.JS,Nginx,SVM,,Cad,,,Highly effective operational analysis professional,,B.C.A
Aurelia,IIS servers,K-Nearest Neighbors,,,,,English,,M.C.A
Chrome DevTools,Microsoft IIS,XGBoost,,,,,Autocad,,Bachelor of Business Information
Agile/Scrum,REST API ,Clustering,,,,,cad,,B.B.I.S
ui,SOAP API,Neural Networks,,,,,Pro-E,,Bachelor of Computational Mathematics
TypeScript,Express.js,Naive Bayes,,,,,,,Bachelors
ReactJS,Phoenix (Elixir),Apache Spark,,,,,,,Masters
GitHub,Django,Hadoop,,,,,,,Bachelor
es7,Ruby on Rails,SQL / NoSQL,,,,,,,Master
photoshop,Laravel,numpy,,,,,,,Bachelor of Computer Science
adobe illustrator,Flask,pandas,,,,,,,Bachelor of Science in Computer Science
wordpress,ASP.NET Core,Pytorch,,,,,,,B.S in Computer Science
jQuery,Spring MVC,OpenCV,,,,,,,B.S of Computer Science
ux,CodeIgniter,NLTK,,,,,,,Bsc in Computer Science
UI,CakePHP,BERT,,,,,,,Bsc In Computer Science
UX,Symfony,LSTM  ,,,,,,,
html5,Play Framework,CNN,,,,,,,
Html5,C#,caffe,,,,,,,
Ui,GitHub,mxnet,,,,,,,
Ux,microservices,Matplotlib,,,,,,,
Css,Npm,AWS lambda,,,,,,,
,Yarn,Matlab,,,,,,,
,Graphql,,,,,,,,
,Mobx,,,,,,,,
,Redux,,,,,,,,
,ORM,,,,,,,,
,dynamodb,,,,,,,,
,CICD,,,,,,,,
